"Format for IDE '%1' is not supported","O formato para IDE '%1' não é suportado"
"Client side less compilation","Compilação less no cliente"
"Server side less compilation","Compilação less no servidor"
"Front-end development workflow","Front-end development workflow"
"Workflow type","Workflow type"
"Not available in production mode","Não disponível em modo de produção"
"Developer Client Restrictions","Developer Client Restrictions"
"Allowed IPs (comma separated)","IPs Permitidos (separados por vírgula)"
"Leave empty for access from any location.","Leave empty for access from any location."
