"An attribute has been removed. This attribute will no longer appear in your configurations.","Um atributo foi removido. Esse atributo não vai mais aparecerá em suas configurações."
"Select options for all attributes or remove unused attributes.","Selecione as opções para todos os atributos ou remova atributos não utilizados."
"Please, select attribute for the section ","Por favor, selecione o atributo para a seção "
"Please fill in the values for the section ","Por favor, preencha os valores para a seção "
"Please, fill correct values","Por favor, preencha os valores corretos"
"Please, select image(s) for your attribute","Por favor, selecione a(s) imagem(ns) para seu atributo"
"Please choose image(s)","Por favor, escolha a imagem(ns)"
"We could not detect a size.","Não foi possível detectar o tamanho."
"We don't recognize or support this file extension type.","Nós não reconhecemos ou suportamos este tipo de extensão de arquivo."
"Please, select attribute(s)","Por favor, selecione o(s) atributo(s)"
"Generate Products","Gerar produtos"
"Configurable Product Image","Imagem de produto configurável"
"Select...","Selecionar..."
"Status","Status"
"ID","ID"
"Thumbnail","Miniatura"
"Attribute Code","Código do Atributo"
"Attribute Label","Rótulo do atributo"
"Required","Obrigatório"
"System","Sistema"
"Visible","Visível"
"Scope","Escopo"
"Searchable","Pesquisável"
"Comparable","Comparável"
